"value_m","value_d","max_accept.x_a","max_accept.x_b","max_accept.e_star_a","max_accept.e_star_b","max_accept.e_hat_a","max_accept.e_hat_b","max_accept.e_a_star","max_accept.npv_a_star","max_accept.npv_b_star","max_accept.npv_a_hat","max_accept.npv_b_hat","max_accept.V_star","max_accept.WTP_A","max_accept.WTA_B","max_accept.accept"
0.1,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,35.8674463937622,35.8674463937622,38.4325202153948,10812.7942435683,-1731.44227822816,12750.5709897275,206.334467931031,2858.75863882476,9891.81235090272,206.334467931031,9685.47788297169
0.1,0.2,100,36.9052631578947,45.6140350877193,45.6140350877193,34.1008771929825,34.1008771929825,36.6716180938855,10812.7942435683,-1731.44227822816,13101.7930249688,557.556503172384,2787.88749449458,10313.9055304742,557.556503172384,9756.34902730186
0.1,0.3,100,36.9052631578947,45.6140350877193,45.6140350877193,31.8295739348371,31.8295739348371,34.1459073464984,10812.7942435683,-1731.44227822816,13553.3642131363,1009.12769133984,2716.49983386955,10836.8643792667,1009.12769133984,9827.7366879269
0.1,0.4,100,31.6473684210526,45.6140350877193,45.6140350877193,28.8011695906433,28.8011695906433,31.8305695431505,10812.7942435683,-2776.7953217112,14155.4591306929,565.869565413406,2646.99592965074,11508.4632010421,565.869565413406,10942.5936356287
0.1,0.5,100,26.3894736842105,45.6140350877193,45.6140350877193,24.5614035087719,24.5614035087719,30.8148166113498,10812.7942435683,-3822.14836519423,14998.3920152721,363.449406509616,2630.87856372461,12367.5134515475,363.449406509616,12004.0640450379
0.1,0.6,100,21.1315789473684,45.6140350877193,45.6140350877193,18.2017543859649,18.2017543859649,33.3904297420546,10812.7942435683,-4867.50140867727,16262.791342141,582.49568989545,2682.43269311044,13580.3586490306,582.49568989545,12997.8629591351
0.1,0.7,100,10.6157894736842,45.6140350877193,45.6140350877193,7.60233918128657,7.60233918128657,40.310929787661,10812.7942435683,-6958.20749564335,18370.1235535891,599.121814377496,2697.76595406289,15672.3575995262,599.121814377496,15073.2357851487
0.1,0.8,100,0.1,45.6140350877193,45.6140350877193,-13.5964912280702,-13.5964912280702,43.8889274796741,10812.7942435683,-9048.91358260942,22584.7879764854,2723.08015030766,2662.03396710215,19922.7540093832,2723.08015030766,17199.6738590756
0.1,0.9,100,0.1,45.6140350877193,45.6140350877193,-77.1929824561403,-77.1929824561403,45.0532741506672,10812.7942435683,-9048.91358260942,35228.7812451741,15367.0734189964,2744.29572308925,32484.4855220848,15367.0734189964,17117.4121030885
0.2,0.1,100,31.6473684210526,45.6140350877193,45.6140350877193,26.6081871345029,26.6081871345029,37.3905337063438,10812.7942435683,-2776.7953217112,14591.4588985787,1001.86933329922,3229.39885511404,11362.0600434647,1001.86933329922,10360.1907101654
0.2,0.2,100,26.3894736842105,45.6140350877193,45.6140350877193,23.6842105263158,23.6842105263158,37.8178037677998,10812.7942435683,-3822.14836519423,15172.7919224265,537.849313663943,3172.52911820704,12000.2628042194,537.849313663943,11462.4134905555
0.2,0.3,100,21.1315789473684,45.6140350877193,45.6140350877193,19.9248120300752,19.9248120300752,38.9461954836082,10812.7942435683,-4867.50140867727,15920.220095945,239.924443699452,3117.55848041638,12802.6616155286,239.924443699452,12562.7371718292
0.2,0.4,100,15.8736842105263,45.6140350877193,45.6140350877193,14.9122807017544,14.9122807017544,40.8767016046984,10812.7942435683,-5912.85445216031,16916.7909939697,191.142298241141,3066.75044507318,13850.0405488966,191.142298241141,13658.8982506554
0.2,0.5,100,10.6157894736842,45.6140350877193,45.6140350877193,7.89473684210528,7.89473684210528,41.0325012214039,10812.7942435683,-6958.20749564335,18311.9902512044,540.98851199272,3023.97838973448,15288.0118614699,540.98851199272,14747.0233494772
0.2,0.6,100,0.1,45.6140350877193,45.6140350877193,-2.6315789473684,-2.6315789473684,46.506080791105,10812.7942435683,-9048.91358260942,20404.7891370563,543.081310878571,2910.24426191205,17494.5448751442,543.081310878571,16951.4635642657
0.2,0.7,100,0.1,45.6140350877193,45.6140350877193,-20.1754385964912,-20.1754385964912,47.0740883327441,10812.7942435683,-9048.91358260942,23892.7872801428,4031.07945396512,2952.73983933397,20940.0474408089,4031.07945396512,16908.9679868437
0.2,0.8,100,0.1,45.6140350877193,45.6140350877193,-55.2631578947368,-55.2631578947368,45.6524686713269,10812.7942435683,-9048.91358260942,30868.7835663159,11007.0757401382,2997.04902039352,27871.7345459224,11007.0757401382,16864.6588057842
0.2,0.9,100,0.1,45.6140350877193,45.6140350877193,-160.526315789474,-160.526315789474,45.9061921506026,10812.7942435683,-9048.91358260942,51796.7724248352,31935.0645986575,3041.84661556126,48754.9258092739,31935.0645986575,16819.8612106165
0.3,0.1,100,21.1315789473684,45.6140350877193,45.6140350877193,17.3489278752437,17.3489278752437,39.9725407686907,10812.7942435683,-4867.50140867727,16432.3468074299,752.051155184383,3399.65603786116,13032.6907695688,752.051155184383,12280.6396143844
0.3,0.2,100,15.8736842105263,45.6140350877193,45.6140350877193,13.2675438596491,13.2675438596491,41.8124401803603,10812.7942435683,-5912.85445216031,17243.7908198841,518.142124155506,3340.50548341317,13903.2853364709,518.142124155506,13385.1432123154
0.3,0.3,100,10.6157894736842,45.6140350877193,45.6140350877193,8.02005012531328,8.02005012531328,44.4741094276368,10812.7942435683,-6958.20749564335,18287.0759787537,516.074239542105,3279.66171720427,15007.4142615495,516.074239542105,14491.3400220074
0.3,0.4,100,5.35789473684211,45.6140350877193,45.6140350877193,1.02339181286549,1.02339181286549,47.4771113451638,10812.7942435683,-8003.56053912638,19678.1228572466,861.768074551917,3217.44919593615,16460.6736613104,861.768074551917,15598.9055867585
0.3,0.5,100,0.1,45.6140350877193,45.6140350877193,-8.7719298245614,-8.7719298245614,48.2192632583222,10812.7942435683,-9048.91358260942,21625.5884871366,1763.88066095887,3152.13376966607,18473.4547174705,1763.88066095887,16709.5740565116
0.3,0.6,100,0.1,45.6140350877193,45.6140350877193,-23.4649122807018,-23.4649122807018,48.4764810734985,10812.7942435683,-9048.91358260942,24546.7869319716,4685.07910579385,3174.81964014325,21371.9672918283,4685.07910579385,16686.8881860345
0.3,0.7,100,0.1,45.6140350877193,45.6140350877193,-47.953216374269,-47.953216374269,48.6447808350379,10812.7942435683,-9048.91358260942,29415.4510066965,9553.74318051882,3198.87526458088,26216.5757421157,9553.74318051882,16662.8325615968
0.3,0.8,100,0.1,45.6140350877193,45.6140350877193,-96.9298245614035,-96.9298245614035,48.3290887503801,10812.7942435683,-9048.91358260942,39152.7791561465,19291.0713299688,3222.91474012474,35929.8644160217,19291.0713299688,16638.793086053
0.3,0.9,100,0.1,45.6140350877193,45.6140350877193,-243.859649122807,-243.859649122807,48.6398611403831,10812.7942435683,-9048.91358260942,68364.7636044963,48503.0557783186,3248.28617946544,65116.4774250309,48503.0557783186,16613.4216467123
0.4,0.1,100,10.6157894736842,45.6140350877193,45.6140350877193,8.08966861598441,8.08966861598441,46.6510900410375,10812.7942435683,-6958.20749564335,18273.2347162812,502.232977069539,3437.85986513205,14835.3748511491,502.232977069539,14333.1418740796
0.4,0.2,100,5.35789473684211,45.6140350877193,45.6140350877193,2.85087719298247,2.85087719298247,47.5413418868154,10812.7942435683,-8003.56053912638,19314.7897173417,498.434934647065,3368.69545917527,15946.0942581665,498.434934647065,15447.6593235194
0.4,0.3,100,0.1,45.6140350877193,45.6140350877193,-3.88471177944862,-3.88471177944862,51.0197156413156,10812.7942435683,-9048.91358260942,20653.9318615625,792.224035384757,3297.43733255636,17356.4945290061,792.224035384757,16564.2704936213
0.4,0.4,100,0.1,45.6140350877193,45.6140350877193,-12.8654970760234,-12.8654970760234,50.7364616762308,10812.7942435683,-9048.91358260942,22439.4547205234,2577.74689434573,3311.6022555494,19127.852464974,2577.74689434573,16550.1055706283
0.4,0.5,100,0.1,45.6140350877193,45.6140350877193,-25.4385964912281,-25.4385964912281,48.8987415202448,10812.7942435683,-9048.91358260942,24939.1867230688,5077.47889689108,3325.40373715619,21613.7829859126,5077.47889689108,16536.3040890215
0.4,0.6,100,0.1,45.6140350877193,45.6140350877193,-44.2982456140351,-44.2982456140351,50.9575432192223,10812.7942435683,-9048.91358260942,28688.7847268868,8827.07690070911,3339.24106820394,25349.5436586829,8827.07690070911,16522.4667579738
0.4,0.7,100,0.1,45.6140350877193,45.6140350877193,-75.7309941520468,-75.7309941520468,51.0309843639912,10812.7942435683,-9048.91358260942,34938.1147332502,15076.4069070725,3354.75431290682,31583.3604203434,15076.4069070725,16506.9535132709
0.4,0.8,100,0.1,45.6140350877193,45.6140350877193,-138.59649122807,-138.59649122807,48.9517526734829,10812.7942435683,-9048.91358260942,47436.774745977,27575.0669197993,3371.84440481829,44064.9303411587,27575.0669197993,16489.8634213594
0.4,0.9,100,0.1,45.6140350877193,45.6140350877193,-327.19298245614,-327.19298245614,50.0892235136531,10812.7942435683,-9048.91358260942,84932.7547841574,65071.0469579797,3387.8071679978,81544.9476161596,65071.0469579797,16473.9006581799
0.5,0.1,100,0.1,45.6140350877193,45.6140350877193,-1.16959064327485,-1.16959064327485,50.7961258321475,10812.7942435683,-9048.91358260942,20114.1226251324,252.414798954695,3393.37689791368,16720.7457272187,252.414798954695,16468.330928264
0.5,0.2,100,0.1,45.6140350877193,45.6140350877193,-7.5657894736842,-7.5657894736842,50.8209919292196,10812.7942435683,-9048.91358260942,21385.7886147994,1524.08078862166,3403.60424179911,17982.1843730003,1524.08078862166,16458.1035843786
0.5,0.3,100,0.1,45.6140350877193,45.6140350877193,-15.7894736842105,-15.7894736842105,52.7369419990034,10812.7942435683,-9048.91358260942,23020.7877443712,3159.07991819348,3414.48284148498,19606.3049028862,3159.07991819348,16447.2249846927
0.5,0.4,100,0.1,45.6140350877193,45.6140350877193,-26.7543859649123,-26.7543859649123,51.1294781699483,10812.7942435683,-9048.91358260942,25200.7865838003,5339.07875762257,3425.39003384205,21775.3965499582,5339.07875762257,16436.3177923357
0.5,0.5,100,0.1,45.6140350877193,45.6140350877193,-42.1052631578947,-42.1052631578947,50.6438764448799,10812.7942435683,-9048.91358260942,28252.784959001,8391.0771328233,3436.65517947423,24816.1297795268,8391.0771328233,16425.0526467035
0.5,0.6,100,0.1,45.6140350877193,45.6140350877193,-65.1315789473684,-65.1315789473684,51.1294126515092,10812.7942435683,-9048.91358260942,32830.7825218021,12969.0746956244,3448.50408446814,29382.278437334,12969.0746956244,16413.2037417096
0.5,0.7,100,0.1,45.6140350877193,45.6140350877193,-103.508771929825,-103.508771929825,52.7371926165465,10812.7942435683,-9048.91358260942,40460.7784598039,20599.0706336262,3459.65832123186,37001.1201385721,20599.0706336262,16402.0495049459
0.5,0.8,100,0.1,45.6140350877193,45.6140350877193,-180.263157894737,-180.263157894737,51.1005037404348,10812.7942435683,-9048.91358260942,55720.7703358076,35859.0625096298,3469.44832706944,52251.3220087381,35859.0625096298,16392.2594991083
0.5,0.9,100,0.1,45.6140350877193,45.6140350877193,-410.526315789474,-410.526315789474,51.2146333281365,10812.7942435683,-9048.91358260942,101500.745963818,81639.0381376408,3478.89086642318,98021.8550973953,81639.0381376408,16382.8169597545
0.6,0.1,100,0.1,45.6140350877193,45.6140350877193,-10.4288499025341,-10.4288499025341,52.022915826974,10812.7942435683,-9048.91358260942,21955.0105339836,2093.30270780593,3478.74463565109,18476.2658983325,2093.30270780593,16382.9631905266
0.6,0.2,100,0.1,45.6140350877193,45.6140350877193,-17.9824561403509,-17.9824561403509,52.2000574997717,10812.7942435683,-9048.91358260942,23456.787512257,3595.0796860793,3487.60352855519,19969.1839837018,3595.0796860793,16374.1042976225
0.6,0.3,100,0.1,45.6140350877193,45.6140350877193,-27.6942355889724,-27.6942355889724,52.7534274392981,10812.7942435683,-9048.91358260942,25387.6436271799,5525.93580100221,3496.73491561206,21890.9087115679,5525.93580100221,16364.9729105656
0.6,0.4,100,0.1,45.6140350877193,45.6140350877193,-40.6432748538012,-40.6432748538012,51.6592469384231,10812.7942435683,-9048.91358260942,27962.1184470771,8100.41062089942,3504.24832166475,24457.8701254124,8100.41062089942,16357.4595045129
0.6,0.5,100,0.1,45.6140350877193,45.6140350877193,-58.7719298245614,-58.7719298245614,51.822267995344,10812.7942435683,-9048.91358260942,31566.3831949332,11704.6753687555,3511.25270189201,28055.1304930412,11704.6753687555,16350.4551242857
